sweep_id,condition,fold,dropout,learning_rate,gpu_num,server_number
ca4gpyo5,G,0,0.1,3e-05,0,-srv2
p8ntm5ik,G,1,0.3,3e-05,0,-srv2
4agemtuy,G,2,0.5,1e-05,1,-srv2
pp9zq8z5,G,3,0.1,1e-05,1,-srv2
jacc6rqr,G,4,0.1,1e-05,2,-srv2
67cbe2hg,G,5,0.5,3e-05,2,-srv2
tmerr2hg,G,6,0.5,3e-05,3,-srv2
buxlqj9j,G,7,0.5,1e-05,3,-srv2
13yyx3nd,G,8,0.1,3e-05,0,20
czf5t5gb,G,9,0.3,1e-05,0,20
pm0hyq3y,H,0,0.1,3e-05,1,20
ii8qnf2t,H,1,0.1,3e-05,1,20
mpr7nsv3,H,2,0.3,1e-05,0,0
afy7z2yf,H,3,0.1,1e-05,0,0
2kqz3xye,H,4,0.5,1e-05,0,0
kyt685zg,H,5,0.3,3e-05,0,0
7bhuapeo,H,6,0.3,3e-05,0,0
h4dzfd60,H,7,0.3,3e-05,0,0
26p3dxvd,H,8,0.5,1e-05,0,0
t1q33s5y,H,9,0.5,1e-05,0,0
